Base,State,CONUS/OCONUS,MAJCOM,NAF,Wing,Group,Unit
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MAINTENANCE GROUP,486 MAINTENANCE OPS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MAINTENANCE GROUP,486 MAINTENANCE SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 OPERATIONS GROUP,486 OPERATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MISSION SUPPORT GROUP,486 SFS
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MAINTENANCE GROUP,487 AIRCRAFT MAINT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MISSION SUPPORT GROUP,487 CES
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MISSION SUPPORT GROUP,487 COMMUNICATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MISSION SUPPORT GROUP,487 CONTRACTING SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MISSION SUPPORT GROUP,487 FORCE SUPPORT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MISSION SUPPORT GROUP,487 LOGISTICS READINES SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MAINTENANCE GROUP,487 MAINTENANCE OPS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 OPERATIONS GROUP,487 MAINTENANCE SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 OPERATIONS GROUP,487 OPERATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 OPERATIONS GROUP,487 OPERATIONS SUPPORT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MISSION SUPPORT GROUP,487 SFS
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 AIR COMMUNICATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 AIR INTELLIGENCE SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,601 AIR OPERATIONS CENTER
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 AIR OPERATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 COMBAT PLANS SQUADRON
Columbus Air Force Base,MS,CONUS,ACC,1 AF,1 AF,HQ,620 RESCUE SQUADRON
PORT AU PRINCE IN International Airport,HAITI,OCONUS,ACC,1 AF,1 AF,153 AEROSPACE EXP GROUP,823 SFS
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,AF RESCUE COORD CENTER
YORK COUNTY City,VA,CONUS,ACC,1 AF,1 AF,HQ,AF RESCUE COORD CENTER (OL A)
ARLINGTON ADM,VA,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (DET 28)
Joint Base Elmendorf-Richardson,AK,OCONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL AK)
Griffiss International Airport,NY,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL ANG)
Joint Base Lewis-McChord Air Base Station,WA,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL ANG)
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL ANG)
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL ANG0)
Montgomery Regional Airport,AL,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL AT)
March Joint Air Reserve Base,CA,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL CAVA)
PETERSON Air Force Base,CO,CONUS,ACC,1 AF,1 AF,HQ,ANG READINESS - FOA (OL F)
Maxwell Air Force Base,AL,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL
Joint Base McGuire-Dix-Lakehurst Air Base Station,NJ,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 1)
Joint Base Andrews,MD,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 2)
Wright-Patterson Air Force Base,OH,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 3)
Dobbins Air Reserve Base,GA,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 4)
MINNEAPOLIS ST PA JAP,MN,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 5)
FORT WORTH NAS JR Air Base Station,TX,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 6)
PETERSON Air Force Base,CO,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 7)
Beale Air Force Base,CA,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (DET 8)
PORTSMOUTH City,NH,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 1A)
White Plains City,NY,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 1B)
BURLINGTON City,NC,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 2A)
Joint Base Andrews,MD,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 2B)
Joint Base Langley Eustis,VA,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 2C)
GREAT LAKES TNG NYI,IL,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 3A)
LOUISVILLE INTL S JAP,KY,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 3B)
MacDill Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 4A)
KNOXVILLE City,TN,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 4AA)
FARGO City,ND,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 5A)
Offutt Air Force Base,NE,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 5B)
Waco City,TX,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 6A)
Luke Air Force Base,AZ,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 6B)
Little Rock Air Force Base,AR,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 6C)
Salt Lake City,UT,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 7A)
Buckley Space Force Base,CO,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 7B)
BOISE City,ID,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 7C)
Honolulu City,HI,OCONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 8A)
Joint Base Elmendorf-Richardson,AK,OCONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 8B)
Joint Base Lewis-McChord Air Base Station,WA,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL 8C)
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,CAP USAF AIR PATROL (OL A)
Griffiss International Airport,NY,CONUS,ACC,1 AF,1 AF,HQ,EASTERN AIR DEF SECTION
Port Au Prince International Airport,HAITI,OCONUS,ACC,1 AF,1 AF,153 AEROSPACE EXP GROUP,SFS
Joint Base Lewis-McChord Air Base Station,WA,CONUS,ACC,1 AF,1 AF,HQ,WESTERN AIR DEF SECTION
Joint Base Andrews,MD,CONUS,ACC,1 AF,320 AEROSPACE EXP WING,HQ,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MAINTENANCE GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MEDICAL GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MISSION SUPPORT GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 OPERATIONS GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,HQ,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MAINTENANCE GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MEDICAL GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MISSION SUPPORT GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 OPERATIONS GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,HQ,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MAINTENANCE GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MEDICAL GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 MISSION SUPPORT GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,487 OPERATIONS GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,487 AEROSPACE EXP WING,HQ,HQ
BOISE AIR TERMINA JAP,ID,CONUS,ACC,1 AF,1 AF,153 AEROSPACE EXP GROUP,HQ
BOISE City,ID,CONUS,ACC,1 AF,1 AF,302 AEROSPACE EXP GROUP,HQ
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,304 AEROSPACE EXP GROUP,HQ
College Station City,TX,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,HQ
Jackson Evers International Airport,MS,CONUS,ACC,1 AF,1 AF,347 RESCUE GROUP,HQ
Homestead Air Reserve Base,FL,CONUS,ACC,1 AF,1 AF,41 AEROSPACE EXP GROUP,HQ
SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,HQ
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,HQ
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,10 AF,HQ,10 AIR FORCE (DET 1)
Joint Base San Antonio Randolph AFB,TX,CONUS,AFRC,10 AF,10 AF,HQ,10 AIR FORCE (OL A)
Vandenberg Air Force Base,CA,CONUS,AFRC,10 AF,10 AF,HQ,10 AIR FORCE (OL B)
Beale Air Force Base,CA,CONUS,AFRC,10 AF,926 WING,726 OPERATIONS GROUP,13 RECONNAISSANCE SQUADRON
Wright-Patterson Air Force Base,OH,CONUS,AFRC,10 AF,655 INTL-SURVEIL-RECON WING,655 INTL-SURVEIL-RECON GROUP,14 INTELLIGENCE SQUADRON
SCHRIEVER Air Force Base,CO,CONUS,AFRC,10 AF,926 WING,926 OPERATIONS GROUP,14 TEST SQUADRON
Fort George Meade,MD,CONUS,AFRC,10 AF,655 INTL-SURVEIL-RECON WING,655 INTL-SURVEIL-RECON GROUP,16 INTELLIGENCE SQUADRON
SCHRIEVER Air Force Base,CO,CONUS,AFRC,10 AF,310 SPACE WING,310 OPERATIONS GROUP,19 SPACE OPNS SQUADRON
Hurlburt Field,FL,CONUS,AFRC,10 AF,919 SPECIAL OPERATIONS WING,919 SPECIAL OPERATIONS GROUP,2 SPECIAL OPERATIONS SQUADRON
Travis Air Force Base,CA,CONUS,AFRC,10 AF,960 CYBERSPACE WING,860 CYBER OPERATIONS GROUP,23 COMBAT COMM SQUADRON
Joint Base San Antonio Lackland AFB,TX,CONUS,AFRC,10 AF,655 INTL-SURVEIL-RECON WING,655 INTL-SURVEIL-RECON GROUP,23 INTELLIGENCE SQUADRON
SCHRIEVER Air Force Base,CO,CONUS,AFRC,10 AF,926 WING,926 OPERATIONS GROUP,26 SPACE AGRS SQUADRON
Hurlburt Field,FL,CONUS,AFRC,10 AF,655 INTL-SURVEIL-RECON WING,655 INTL-SURVEIL-RECON GROUP,28 INTELLIGENCE SQUADRON
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MAINTENANCE GROUP,301 AIRCRAFT MAINT SQUADRON
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MISSION SUPPORT GROUP,301 CES
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MISSION SUPPORT GROUP,301 COMMUNICATIONS SQUADRON
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MISSION SUPPORT GROUP,301 CONTRACTING FLIGHT
Tyndall Air Force Base,FL,CONUS,AFRC,10 AF,301 FIGHTER WING,44 FIGHTER GROUP,301 FIGHTER SQUADRON
Eglin Air Force Base,FL,CONUS,AFRC,10 AF,301 FIGHTER WING,44 FIGHTER GROUP,301 FIGHTER SQUADRON (DET 1)
Tyndall Air Force Base,FL,CONUS,AFRC,10 AF,301 FIGHTER WING,44 FIGHTER GROUP,301 FIGHTER SQUADRON (OL A)
Eglin Air Force Base,FL,CONUS,AFRC,10 AF,301 FIGHTER WING,44 FIGHTER GROUP,301 FIGHTER SQUADRON (OL B)
Eglin Air Force Base,FL,CONUS,AFRC,10 AF,301 FIGHTER WING,HQ,301 FIGHTER WING (DET 1)
Fort SILL AIN,OK,CONUS,AFRC,10 AF,301 FIGHTER WING,HQ,301 FIGHTER WING (OL CM)
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,HQ,301 FIGHTER WING (OL FM00)
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MISSION SUPPORT GROUP,301 FORCE SUPPORT SQUADRON
Tyndall Air Force Base,FL,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MISSION SUPPORT GROUP,301 FORCE SUPPORT SQUADRON (OL A)
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MISSION SUPPORT GROUP,301 LOGISTICS READINES SQUADRON
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MAINTENANCE GROUP,301 MAINTENANCE SQUADRON
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,HQ,301 MEDICAL SQUADRON
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 OPERATIONS GROUP,301 OPERATIONS SUPPORT SQUADRON
Fort SILL AIN,OK,CONUS,AFRC,10 AF,301 FIGHTER WING,301 OPERATIONS GROUP,301 OPERATIONS SUPPORT SQUADRON (OL A)
Patrick Space Force Base,FL,CONUS,AFRC,10 AF,920 RESCUE WING,920 OPERATIONS GROUP,301 RESCUE SQUADRON
FORT WORTH NAS JR Air Base Station,TX,CONUS,AFRC,10 AF,301 FIGHTER WING,301 MISSION SUPPORT GROUP,301 SFS
Joint Base Elmendorf-Richardson,AK,OCONUS,AFRC,10 AF,10 AF,477 FIGHTER GROUP,302 FIGHTER SQUADRON
Whiteman Air Force Base,MO,CONUS,AFRC,10 AF,442 FIGHTER WING,442 OPERATIONS GROUP,303 FIGHTER SQUADRON
PORTLAND INTL JAP,OR,CONUS,AFRC,10 AF,920 RESCUE WING,943 RESCUE GROUP,304 RESCUE SQUADRON
Davis-Monthan Air Force Base,AZ,CONUS,AFRC,10 AF,920 RESCUE WING,943 RESCUE GROUP,305 RESCUE SQUADRON
Davis-Monthan Air Force Base,AZ,CONUS,AFRC,10 AF,920 RESCUE WING,943 RESCUE GROUP,306 RESCUE SQUADRON
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,307 MAINTENANCE GROUP,307 AIRCRAFT MAINT SQUADRON
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,HQ,307 BOMB WING (OL FM00)
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,307 MISSION SUPPORT GROUP,307 CES
SEYMOUR JOHNSON Air Force Base,NC,CONUS,AFRC,10 AF,944 FIGHTER WING,414 FIGHTER GROUP,307 FIGHTER SQUADRON
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,307 MISSION SUPPORT GROUP,307 FORCE SUPPORT SQUADRON
Dyess Air Force Base,TX,CONUS,AFRC,10 AF,307 BOMB WING,307 MISSION SUPPORT GROUP,307 FORCE SUPPORT SQUADRON (OL A)
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,307 MISSION SUPPORT GROUP,307 FORCE SUPPORT SQUADRON (OL SC00)
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,307 MISSION SUPPORT GROUP,307 LOGISTICS READINES SQUADRON
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,307 MAINTENANCE GROUP,307 MAINTENANCE SQUADRON
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,307 MAINTENANCE GROUP,307 MAINTENANCE SQUADRON (OL CRF0)
Barksdale Air Force Base,LA,CONUS,AFRC,10 AF,307 BOMB WING,HQ,307 MEDICAL SQUADRON
